"","","","","",Cardio_Result



"","","","","",Jrip
a,b,c,TP Rate,FP Rate,Precision,Recall,F-Measure,ROC Area,Class
276,18,1,0.936,0.004,0.972,0.936,0.953,0.963,TWO
7,1648,0,0.996,0.038,0.989,0.996,0.992,0.979,ONE
1,0,175,0.994,0.001,0.994,0.994,0.994,0.996,THREE



"","","","","",Ridor
a,b,c,TP Rate,FP Rate,Precision,Recall,F-Measure,ROC Area,Class
271,23,1,0.919,0.004,0.971,0.919,0.944,0.957,TWO
7,1648,0,0.996,0.049,0.986,0.996,0.991,0.973,ONE
1,0,175,0.994,0.001,0.994,0.994,0.994,0.997,THREE



"","","","","",J48
a,b,c,TP Rate,FP Rate,Precision,Recall,F-Measure,ROC Area,Class
273,21,1,0.925,0.004,0.975,0.925,0.95,0.973,TWO
6,1649,0,0.996,0.045,0.987,0.996,0.992,0.985,ONE
1,0,175,0.994,0.001,0.994,0.994,0.994,0.996,THREE



"","","","","",SC
a,b,c,TP Rate,FP Rate,Precision,Recall,F-Measure,ROC Area,Class
270,24,1,0.915,0.003,0.978,0.915,0.946,0.975,TWO
5,1650,0,0.997,0.051,0.986,0.997,0.991,0.986,ONE
1,0,175,0.994,0.001,0.994,0.994,0.994,0.996,THREE



"","","","","",NB
a,b,c,TP Rate,FP Rate,Precision,Recall,F-Measure,ROC Area,Class
230,61,4,0.78,0.07,0.642,0.78,0.704,0.913,TWO
62,1583,10,0.956,0.153,0.956,0.956,0.956,0.959,ONE
66,11,99,0.563,0.007,0.876,0.563,0.685,0.976,THREE



"","","","","",IBK
a,b,c,TP Rate,FP Rate,Precision,Recall,F-Measure,ROC Area,Class
270,23,2,0.915,0.014,0.912,0.915,0.914,0.957,TWO
13,1641,1,0.992,0.064,0.982,0.992,0.987,0.969,ONE
13,7,156,0.886,0.002,0.981,0.886,0.931,0.951,THREE



