"","","","","",Libras_movement_Result



"","","","","",Jrip
a,b,c,d,e,f,g,h,j,k,l,m,n,o,p,TP Rate,FP Rate,Precision,Recall,F-Measure,ROC Area,Class
13,4,0,0,0,0,0,1,0,2,0,1,1,1,1,0.542,0.045,0.464,0.542,0.5,0.777,One
1,11,0,1,0,0,3,0,2,1,2,1,0,2,0,0.458,0.036,0.478,0.458,0.468,0.886,Two
0,0,15,1,0,1,2,2,1,1,1,0,0,0,0,0.625,0.012,0.789,0.625,0.698,0.828,Three
0,0,0,19,0,4,0,0,0,1,0,0,0,0,0,0.792,0.036,0.613,0.792,0.691,0.937,Four
1,0,0,2,19,1,0,0,0,0,0,0,0,1,0,0.792,0.009,0.864,0.792,0.826,0.917,Five
0,2,0,6,1,10,1,0,1,0,1,0,0,1,1,0.417,0.027,0.526,0.417,0.465,0.805,Six
2,1,2,0,0,0,11,3,1,1,0,1,0,2,0,0.458,0.074,0.306,0.458,0.367,0.841,Seven
2,0,0,1,0,1,2,8,1,0,3,0,3,2,1,0.333,0.051,0.32,0.333,0.327,0.765,Eight
1,1,1,0,0,0,2,0,17,0,1,0,0,0,1,0.708,0.027,0.654,0.708,0.68,0.964,Nine
2,0,0,0,0,1,5,0,2,9,1,4,0,0,0,0.375,0.033,0.45,0.375,0.409,0.759,One0
2,2,0,1,0,0,2,6,0,0,3,0,5,3,0,0.125,0.057,0.136,0.125,0.13,0.821,OneOne
2,1,1,0,0,0,4,0,0,4,0,12,0,0,0,0.5,0.024,0.6,0.5,0.545,0.801,OneTwo
1,0,0,0,0,0,0,5,1,0,7,0,8,2,0,0.333,0.033,0.421,0.333,0.372,0.842,OneThree
1,1,0,0,2,1,1,0,0,1,0,1,1,15,0,0.625,0.042,0.517,0.625,0.566,0.848,OneFour
0,0,0,0,0,0,3,0,0,0,3,0,1,0,17,0.708,0.012,0.81,0.708,0.756,0.87,OneFive



"","","","","",Ridor
a,b,c,d,e,f,g,h,j,k,l,m,n,o,p,TP Rate,FP Rate,Precision,Recall,F-Measure,ROC Area,Class
11,4,0,0,1,0,0,2,1,1,2,0,0,2,0,0.458,0.03,0.524,0.458,0.489,0.714,One
1,10,0,1,1,0,0,0,4,1,2,2,1,0,1,0.417,0.027,0.526,0.417,0.465,0.695,Two
1,0,19,0,0,0,0,0,2,0,0,0,2,0,0,0.792,0.006,0.905,0.792,0.844,0.893,Three
0,0,0,19,1,2,1,0,0,0,0,0,0,1,0,0.792,0.015,0.792,0.792,0.792,0.888,Four
0,0,0,1,17,1,0,0,0,1,0,0,1,2,1,0.708,0.015,0.773,0.708,0.739,0.847,Five
0,1,0,3,0,12,1,0,1,0,1,0,0,5,0,0.5,0.024,0.6,0.5,0.545,0.738,Six
1,0,0,0,0,0,14,1,1,1,0,2,1,0,3,0.583,0.033,0.56,0.583,0.571,0.775,Seven
0,0,0,0,0,0,0,15,1,0,3,0,4,0,1,0.625,0.033,0.577,0.625,0.6,0.796,Eight
1,0,0,0,0,0,3,0,16,0,2,0,1,0,1,0.667,0.033,0.593,0.667,0.627,0.817,Nine
2,2,0,0,1,0,3,0,1,5,0,3,2,1,4,0.208,0.021,0.417,0.208,0.278,0.594,One0
1,0,0,0,0,0,0,4,0,0,12,0,7,0,0,0.5,0.065,0.353,0.5,0.414,0.717,OneOne
1,1,1,0,0,1,2,0,0,2,1,14,0,0,1,0.583,0.024,0.636,0.583,0.609,0.78,OneTwo
2,0,0,0,0,1,0,2,0,0,10,0,9,0,0,0.375,0.06,0.31,0.375,0.34,0.658,OneThree
0,0,0,0,1,2,0,0,0,0,0,0,0,20,1,0.833,0.036,0.625,0.833,0.714,0.899,OneFour
0,1,1,0,0,1,1,2,0,1,1,1,1,1,13,0.542,0.039,0.5,0.542,0.52,0.751,OneFive



"","","","","",J48
a,b,c,d,e,f,g,h,j,k,l,m,n,o,p,TP Rate,FP Rate,Precision,Recall,F-Measure,ROC Area,Class
18,3,0,0,0,0,2,0,0,0,1,0,0,0,0,0.75,0.027,0.667,0.75,0.706,0.885,One
2,11,0,0,1,4,1,0,5,0,0,0,0,0,0,0.458,0.027,0.55,0.458,0.5,0.811,Two
0,0,21,0,1,0,0,0,1,0,0,0,0,0,1,0.875,0.006,0.913,0.875,0.894,0.954,Three
0,1,0,20,0,1,0,0,1,1,0,0,0,0,0,0.833,0.018,0.769,0.833,0.8,0.947,Four
0,1,0,1,18,2,0,0,0,0,0,0,0,2,0,0.75,0.021,0.72,0.75,0.735,0.907,Five
3,0,0,5,1,12,0,0,0,0,0,0,0,3,0,0.5,0.03,0.545,0.5,0.522,0.824,Six
0,0,0,0,0,1,18,2,0,2,0,0,0,0,1,0.75,0.042,0.563,0.75,0.643,0.872,Seven
0,0,0,0,0,0,1,12,0,0,4,0,2,1,4,0.5,0.024,0.6,0.5,0.545,0.835,Eight
0,2,0,0,0,0,3,0,19,0,0,0,0,0,0,0.792,0.024,0.704,0.792,0.745,0.883,Nine
3,1,0,0,0,1,4,0,0,14,0,1,0,0,0,0.583,0.024,0.636,0.583,0.609,0.878,One0
0,0,0,0,0,0,0,1,0,0,14,0,9,0,0,0.583,0.045,0.483,0.583,0.528,0.846,OneOne
0,1,0,0,0,0,0,0,0,4,0,17,0,0,2,0.708,0.006,0.895,0.708,0.791,0.868,OneTwo
0,0,1,0,0,0,1,2,1,0,10,0,9,0,0,0.375,0.033,0.45,0.375,0.409,0.743,OneThree
1,0,0,0,3,1,0,0,0,0,0,0,0,19,0,0.792,0.018,0.76,0.792,0.776,0.926,OneFour
0,0,1,0,1,0,2,3,0,1,0,1,0,0,15,0.625,0.024,0.652,0.625,0.638,0.819,OneFive



"","","","","",SC
a,b,c,d,e,f,g,h,j,k,l,m,n,o,p,TP Rate,FP Rate,Precision,Recall,F-Measure,ROC Area,Class
15,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0.625,0.024,0.652,0.625,0.638,0.859,One
0,17,0,1,0,2,1,0,2,1,0,0,0,0,0,0.708,0.033,0.607,0.708,0.654,0.837,Two
0,0,19,0,0,0,0,1,1,0,1,0,1,0,1,0.792,0.012,0.826,0.792,0.809,0.906,Three
2,0,0,18,1,1,0,0,1,0,0,0,0,0,1,0.75,0.018,0.75,0.75,0.75,0.944,Four
0,0,0,1,18,1,0,0,1,0,0,0,0,2,1,0.75,0.015,0.783,0.75,0.766,0.915,Five
2,2,1,2,1,10,0,0,3,0,1,0,0,2,0,0.417,0.03,0.5,0.417,0.455,0.812,Six
1,0,0,0,0,0,13,2,2,1,0,5,0,0,0,0.542,0.039,0.5,0.542,0.52,0.839,Seven
1,0,1,0,0,0,2,9,1,0,4,0,4,0,2,0.375,0.039,0.409,0.375,0.391,0.752,Eight
0,4,0,0,1,2,0,0,17,0,0,0,0,0,0,0.708,0.033,0.607,0.708,0.654,0.921,Nine
2,3,0,0,0,0,3,0,0,11,0,3,0,0,2,0.458,0.018,0.647,0.458,0.537,0.842,One0
0,0,0,0,0,1,0,3,0,1,9,0,10,0,0,0.375,0.051,0.346,0.375,0.36,0.77,OneOne
0,0,0,0,0,0,3,0,0,0,0,20,0,0,1,0.833,0.027,0.69,0.833,0.755,0.944,OneTwo
0,0,1,0,0,0,0,5,0,0,9,0,8,0,1,0.333,0.045,0.348,0.333,0.34,0.803,OneThree
0,1,0,1,0,1,0,0,0,2,0,1,0,17,1,0.708,0.012,0.81,0.708,0.756,0.862,OneFour
0,0,1,0,1,1,1,2,0,0,1,0,0,0,17,0.708,0.03,0.63,0.708,0.667,0.92,OneFive



"","","","","",NB
a,b,c,d,e,f,g,h,j,k,l,m,n,o,p,TP Rate,FP Rate,Precision,Recall,F-Measure,ROC Area,Class
14,3,0,0,0,3,1,2,1,0,0,0,0,0,0,0.583,0.024,0.636,0.583,0.609,0.946,One
2,14,1,0,0,1,0,0,3,3,0,0,0,0,0,0.583,0.018,0.7,0.583,0.636,0.958,Two
0,0,20,0,0,1,0,1,0,0,0,0,0,0,2,0.833,0.003,0.952,0.833,0.889,0.969,Three
0,0,0,20,1,3,0,0,0,0,0,0,0,0,0,0.833,0.021,0.741,0.833,0.784,0.981,Four
0,0,0,0,19,1,0,0,0,0,0,0,0,4,0,0.792,0.003,0.95,0.792,0.864,0.993,Five
4,2,0,7,0,6,0,0,1,0,0,0,0,3,1,0.25,0.036,0.333,0.25,0.286,0.917,Six
0,0,0,0,0,0,14,1,2,4,0,2,0,0,1,0.583,0.03,0.583,0.583,0.583,0.904,Seven
0,0,0,0,0,0,0,13,1,0,4,0,6,0,0,0.542,0.048,0.448,0.542,0.491,0.918,Eight
0,1,0,0,0,0,0,0,17,6,0,0,0,0,0,0.708,0.024,0.68,0.708,0.694,0.947,Nine
0,0,0,0,0,0,4,0,0,6,0,10,0,1,3,0.25,0.042,0.3,0.25,0.273,0.857,One0
0,0,0,0,0,0,0,4,0,0,11,0,9,0,0,0.458,0.039,0.458,0.458,0.458,0.95,OneOne
0,0,0,0,0,0,4,0,0,1,0,18,0,0,1,0.75,0.039,0.581,0.75,0.655,0.976,OneTwo
0,0,0,0,0,0,0,2,0,0,9,0,12,0,1,0.5,0.045,0.444,0.5,0.471,0.954,OneThree
1,0,0,0,0,2,1,0,0,0,0,1,0,19,0,0.792,0.024,0.704,0.792,0.745,0.962,OneFour
1,0,0,0,0,1,0,6,0,0,0,0,0,0,16,0.667,0.027,0.64,0.667,0.653,0.846,OneFive



"","","","","",IBK
a,b,c,d,e,f,g,h,j,k,l,m,n,o,p,TP Rate,FP Rate,Precision,Recall,F-Measure,ROC Area,Class
17,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0.708,0.006,0.895,0.708,0.791,0.854,One
2,19,0,0,0,0,0,0,3,0,0,0,0,0,0,0.792,0.018,0.76,0.792,0.776,0.889,Two
0,0,23,0,0,0,0,0,0,0,0,0,0,0,1,0.958,0.003,0.958,0.958,0.958,0.957,Three
0,0,0,22,0,1,0,0,1,0,0,0,0,0,0,0.917,0.006,0.917,0.917,0.917,0.956,Four
0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,1,0.003,0.96,1,0.98,0.999,Five
0,0,0,2,0,19,0,0,1,0,0,0,0,2,0,0.792,0.003,0.95,0.792,0.864,0.896,Six
0,0,0,0,0,0,23,0,1,0,0,0,0,0,0,0.958,0.015,0.821,0.958,0.885,0.972,Seven
0,0,1,0,0,0,0,19,1,0,2,0,0,0,1,0.792,0.021,0.731,0.792,0.76,0.867,Eight
0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,1,0.024,0.75,1,0.857,0.988,Nine
0,0,0,0,0,0,2,0,0,18,0,3,0,1,0,0.75,0.006,0.9,0.75,0.818,0.874,One0
0,0,0,0,0,0,0,3,0,0,15,0,6,0,0,0.625,0.021,0.682,0.625,0.652,0.784,OneOne
0,0,0,0,0,0,2,0,0,2,0,20,0,0,0,0.833,0.009,0.87,0.833,0.851,0.914,OneTwo
0,0,0,0,0,0,0,4,0,0,5,0,15,0,0,0.625,0.018,0.714,0.625,0.667,0.805,OneThree
0,0,0,0,1,0,0,0,0,0,0,0,0,23,0,0.958,0.009,0.885,0.958,0.92,0.975,OneFour
0,0,0,0,0,0,1,0,0,0,0,0,0,0,23,0.958,0.006,0.92,0.958,0.939,0.974,OneFive



