"","","","","",SpamBase_result



"","","","","",Jrip
a,b,TP Rate,FP Rate,Precision,Recall,F-Measure,ROC Area,Class
1534,279,0.846,0.056,0.907,0.846,0.876,0.912,spam
157,2631,0.944,0.154,0.904,0.944,0.923,0.912,not



"","","","","",Ridor
a,b,TP Rate,FP Rate,Precision,Recall,F-Measure,ROC Area,Class
1570,243,0.866,0.075,0.882,0.866,0.874,0.895,spam
210,2578,0.925,0.134,0.914,0.925,0.919,0.895,not



"","","","","",J48
a,b,TP Rate,FP Rate,Precision,Recall,F-Measure,ROC Area,Class
1608,205,0.887,0.067,0.896,0.887,0.891,0.947,spam
187,2601,0.933,0.113,0.927,0.933,0.93,0.947,not



"","","","","",SC
a,b,TP Rate,FP Rate,Precision,Recall,F-Measure,ROC Area,Class
1600,213,0.883,0.065,0.899,0.883,0.891,0.946,spam
180,2608,0.935,0.117,0.924,0.935,0.93,0.946,not



"","","","","",NB
a,b,TP Rate,FP Rate,Precision,Recall,F-Measure,ROC Area,Class
1732,81,0.955,0.368,0.628,0.955,0.758,0.935,spam
1026,1762,0.632,0.045,0.956,0.632,0.761,0.935,not



"","","","","",IBK
a,b,TP Rate,FP Rate,Precision,Recall,F-Measure,ROC Area,Class
1579,234,0.871,0.099,0.852,0.871,0.861,0.895,spam
275,2513,0.901,0.129,0.915,0.901,0.908,0.895,not



